   1   2
    -531109.62500000          0.00041946          0.00025747
    -529516.87500000          0.00041946          0.00025747
    -527924.12500000          0.00041946          0.00025747
    -526331.37500000          0.00041952          0.00025768
    -524738.62500000          0.00041952          0.00025768
    -523145.84375000          0.00041952          0.00025768
    -521553.09375000          0.00041952          0.00025768
    -519960.34375000          0.00041952          0.00025768
    -518367.59375000          0.00041952          0.00025768
    -516774.81250000          0.00041952          0.00025768
    -515182.06250000          0.00041952          0.00025768
    -513589.31250000          0.00041952          0.00025768
    -511996.56250000          0.00041952          0.00025768
    -510403.81250000          0.00041952          0.00025768
    -508811.06250000          0.00041952          0.00025768
    -507218.31250000          0.00041952          0.00025768
    -505625.56250000          0.00041952          0.00025768
    -504032.81250000          0.00041952          0.00025768
    -502440.06250000          0.00041952          0.00025768
    -500847.31250000          0.00041952          0.00025768
    -499254.56250000          0.00041952          0.00025768
    -497661.81250000          0.00041952          0.00025768
    -496069.06250000          0.00041952          0.00025768
    -494476.31250000          0.00041952          0.00025768
    -492883.56250000          0.00041952          0.00025768
    -491290.81250000          0.00041952          0.00025768
    -489698.06250000          0.00041952          0.00025768
    -488105.31250000          0.00041952          0.00025768
    -486512.56250000          0.00041952          0.00025768
    -484919.81250000          0.00041952          0.00025768
    -483327.06250000          0.00041952          0.00025768
    -481734.31250000          0.00041952          0.00025768
    -480141.56250000          0.00041952          0.00025768
    -478548.81250000          0.00041952          0.00025768
    -476956.06250000          0.00041952          0.00025768
    -475363.31250000          0.00041952          0.00025768
    -473770.56250000          0.00041952          0.00025768
    -472177.81250000          0.00041952          0.00025768
    -470585.06250000          0.00041980          0.00025940
    -468992.31250000          0.00041980          0.00025940
    -467399.56250000          0.00041980          0.00025940
    -465806.81250000          0.00041980          0.00025940
    -464214.03125000          0.00041980          0.00025940
    -462621.28125000          0.00041980          0.00025940
    -461028.53125000          0.00041980          0.00025940
    -459435.78125000          0.00041980          0.00025940
    -457843.03125000          0.00041986          0.00025905
    -456250.28125000          0.00041991          0.00025912
    -454657.53125000          0.00041991          0.00025912
    -453064.78125000          0.00041991          0.00025912
    -451472.03125000          0.00042015          0.00026104
    -449879.28125000          0.00042039          0.00026215
    -448286.53125000          0.00042044          0.00026218
    -446693.78125000          0.00042062          0.00026346
    -445101.03125000          0.00042194          0.00027548
    -443508.28125000          0.00042213          0.00027617
    -441915.53125000          0.00042229          0.00027703
    -440322.78125000          0.00042376          0.00029294
    -438730.03125000          0.00042657          0.00031680
    -437137.28125000          0.00042919          0.00033726
    -435544.53125000          0.00043527          0.00038763
    -433951.78125000          0.00044209          0.00043645
    -432359.03125000          0.00045038          0.00048719
    -430766.28125000          0.00046052          0.00054820
    -429173.53125000          0.00046315          0.00056131
    -427580.78125000          0.00046444          0.00056748
    -425988.03125000          0.00046444          0.00056748
    -424395.28125000          0.00046456          0.00056770
    -422802.53125000          0.00046456          0.00056770
    -421209.78125000          0.00046456          0.00056770
    -419617.03125000          0.00046456          0.00056770
    -418024.28125000          0.00046456          0.00056770
    -416431.53125000          0.00046456          0.00056770
    -414838.75000000          0.00046456          0.00056770
    -413246.00000000          0.00046456          0.00056770
    -411653.25000000          0.00046456          0.00056770
    -410060.50000000          0.00046456          0.00056770
    -408467.75000000          0.00046456          0.00056770
    -406875.00000000          0.00046456          0.00056770
    -405282.25000000          0.00046456          0.00056770
    -403689.50000000          0.00046456          0.00056770
    -402096.75000000          0.00046456          0.00056770
    -400504.00000000          0.00046456          0.00056770
