MOD:   CHAIN   MOVE      ACC      LPPD           LPPD0             LHNORM         LHNORM0  N  HPARAM
MOD:  1   1070000    2                 1            577.25671387            577.25671387           3617.21362305           3617.21362305     1        2.74160
MOD:  1   1080000    3                 0           8926.69042969            592.96661377           3611.42114258           3611.42114258     1        2.73721
MOD:  1   1090000    3                 0          40153.75000000            582.70458984           3614.89331055           3614.89331055     1        2.73984
MOD:  1   1100000    5                 1            551.63928223            551.63928223           3630.47143555           3630.47143555     1        2.75165
MOD:  1   1110000    5                 1            503.78820801            503.78820801           3656.43286133           3656.43286133     1        2.77132
MOD:  1   1120000    3                 0           2198.78247070            536.07702637           3639.72509766           3639.72509766     1        2.75866
MOD:  1   1130000    1                 0            622.91333008            565.56829834           3595.49829102           3623.16772461     1        2.74611
MOD:  1   1140000    1                 0            744.51831055            483.41534424           3545.24169922           3668.96948242     1        2.78083
MOD:  1   1150000    2                 1            625.43402100            625.43402100           3594.68164062           3594.68164062     1        2.72452
MOD:  1   1160000    2                 1            547.70709229            547.70709229           3634.32324219           3634.32324219     1        2.75457
MOD:  1   1170000    1                 0            490.50888062            532.85211182           3665.45434570           3641.73193359     1        2.76018
MOD:  1   1180000    2                 1            573.95935059            573.95935059           3619.03588867           3619.03588867     1        2.74298
MOD:  1   1190000    4                 0            576.90948486            576.16156006           3618.26708984           3618.26708984     1        2.74240
MOD:  1   1200000    1                -1            464.55694580            464.55694580           3679.48950195           3679.48950195     1        2.78880
MOD:  1   1210000    4                 0            508.64938354            508.30560303           3654.23193359           3654.23193359     1        2.76966
MOD:  1   1220000    2                 1            548.65960693            548.65960693           3633.56518555           3633.56518555     1        2.75399
MOD:  1   1230000    1                 1            565.63488770            565.63488770           3623.34375000           3623.34375000     1        2.74624
MOD:  1   1240000    2                 1            516.08233643            516.08233643           3649.48266602           3649.48266602     1        2.76606
MOD:  1   1250000    5                 0         132825.18750000            574.04785156           3620.95239258           3620.95239258     1        2.74443
MOD:  1   1260000    4                 0            517.89752197            512.27954102           3652.18188477           3652.18188477     1        2.76810
MOD:  1   1270000    1                 0            498.87448120            603.02740479           3660.08129883           3605.75830078     1        2.73292
MOD:  1   1280000    2                 1            560.44036865            560.44036865           3626.28100586           3626.28100586     1        2.74847
MOD:  1   1290000    5                 1            597.47009277            597.47009277           3610.44970703           3610.44970703     1        2.73647
MOD:  1   1300000    5                 0        1555997.37500000            572.42614746           3621.89355469           3621.89355469     1        2.74515
MOD:  1   1310000    2                 1            559.74609375            559.74609375           3627.96313477           3627.96313477     1        2.74975
MOD:  1   1320000    2                 1            594.62286377            594.62286377           3609.38012695           3609.38012695     1        2.73566
MOD:  1   1330000    4                 1            555.53308105            555.53308105           3629.29101562           3629.29101562     1        2.75075
MOD:  1   1340000    5                 1            586.35290527            586.35290527           3613.08007812           3613.08007812     1        2.73847
MOD:  1   1350000    3                 1            537.29974365            537.29974365           3639.31079102           3639.31079102     1        2.75835
MOD:  1   1360000    1                 0            369.63726807            551.84918213           3746.85180664           3632.03613281     1        2.75283
MOD:  1   1370000    3                 0          21948.86328125            577.03356934           3618.48852539           3618.48852539     1        2.74256
MOD:  1   1380000    3                 0            583.29815674            533.67437744           3640.95849609           3640.95849609     1        2.75960
MOD:  1   1390000    5                 1            541.10638428            541.10638428           3635.89086914           3635.89086914     1        2.75575
MOD:  1   1400000    1                 0            432.40411377            624.94940186           3704.36938477           3598.84863281     1        2.72768
MOD:  1   1410000    4                -1            541.49786377            541.49786377           3637.43261719           3637.43261719     1        2.75692
MOD:  1   1420000    3                 0           5584.77343750            586.66223145           3613.87768555           3613.87768555     1        2.73907
MOD:  1   1430000    3                 1            585.06500244            585.06500244           3615.78759766           3615.78759766     1        2.74052
MOD:  1   1440000    3                 1            562.41802979            562.41802979           3625.28857422           3625.28857422     1        2.74772
MOD:  1   1450000    5                 1            579.28472900            579.28472900           3617.91943359           3617.91943359     1        2.74213
MOD:  1   1460000    5                 0           3380.08203125            606.83471680           3603.43774414           3603.43774414     1        2.73116
MOD:  1   1470000    4                 1            580.14550781            580.14550781           3616.52783203           3616.52783203     1        2.74108
MOD:  1   1480000    1                 0            378.23132324            580.03424072           3738.58276367           3616.08081055     1        2.74074
MOD:  1   1490000    1                 0            484.07153320            605.86181641           3671.14941406           3606.85327148     1        2.73375
MOD:  1   1500000    3                 1            625.82666016            625.82666016           3587.57543945           3587.57543945     2        2.71914
MOD:  1   1510000    6                 0           1092.14453125            567.83172607           3614.44775391           3614.44775391     2        2.73950
MOD:  1   1520000    5                 1            576.81329346            576.81329346           3618.67553711           3618.67553711     1        2.74271
MOD:  1   1530000    5                 1            578.95288086            578.95288086           3616.52050781           3616.52050781     1        2.74107
MOD:  1   1540000    1                 0            404.08093262            545.41113281           3720.53833008           3634.61010742     1        2.75478
MOD:  1   1550000    1                 0            746.52990723            563.48986816           3543.65527344           3624.24414062     1        2.74693
MOD:  1   1560000    5                 1            594.66210938            594.66210938           3609.42456055           3609.42456055     1        2.73570
MOD:  1   1570000    4                 0            553.41375732            552.53277588           3630.61669922           3630.61669922     1        2.75176
MOD:  1   1580000    2                 1            650.59075928            650.59075928           3584.14257812           3584.14257812     1        2.71653
MOD:  1   1590000    1                 0            378.13165283            552.34002686           3740.11596680           3631.55517578     1        2.75247
MOD:  1   1600000    4                 1            605.86041260            605.86041260           3603.56250000           3603.56250000     1        2.73125
MOD:  1   1610000    5                 1            541.80645752            541.80645752           3638.30639648           3638.30639648     1        2.75759
MOD:  1   1620000    2                 1            565.39624023            565.39624023           3623.18945312           3623.18945312     1        2.74613
MOD:  1   1630000    4                 0            551.59765625            540.96453857           3636.10375977           3636.10375977     1        2.75592
MOD:  1   1640000    4                 1            534.05297852            534.05297852           3640.52807617           3640.52807617     1        2.75927
MOD:  1   1650000    1                 0            615.83746338            557.50817871           3600.10571289           3628.61401367     1        2.75024
MOD:  1   1660000    4                 0            533.73760986            525.16741943           3644.65917969           3644.65917969     1        2.76240
MOD:  1   1670000    1                 1            578.56481934            578.56481934           3617.24707031           3617.24707031     1        2.74162
MOD:  1   1680000    2                 1            550.92956543            550.92956543           3631.39990234           3631.39990234     1        2.75235
MOD:  1   1690000    1                 0            480.77499390            558.80664062           3670.08837891           3626.99755859     1        2.74901
MOD:  1   1700000    4                 1            569.27075195            569.27075195           3621.57177734           3621.57177734     1        2.74490
MOD:  1   1710000    3                 1            550.26837158            550.26837158           3632.22045898           3632.22045898     1        2.75297
MOD:  1   1720000    5                 0        1105004.87500000            597.77795410           3607.84863281           3607.84863281     1        2.73450
MOD:  1   1730000    2                 1            596.30261230            596.30261230           3608.05590820           3608.05590820     1        2.73466
